id	name	age	country	hometown	height	arm_span	gender
108	Ruslan Faizullin	26.0	RUS	Ufa			1
109	Aleksandr Shikov	25.0	RUS	Tyumen			1
110	Iuliia Kaplina	28.0	RUS	Tyumen			0
111	Maksim Diachkov	24.0	RUS	Voronezh			1
112	Daria Kan	23.0	RUS	Tyumen			-1
113	Vadim Malshchukov	23.0	RUS	Kirov			1
114	Anastasia Manuylova	23.0	RUS	Yekaterinburg			-1
115	Mariia Musienko	24.0	RUS	Krasnoyarsk			0
116	Vladislav Myznikov	24.0	RUS	Korkino			1
117	Elena Timofeeva	25.0	RUS	Ekaterinburg			-1
118	Iuliia Panteleeva	23.0	RUS	Ekaterinburg			0
119	Svetlana Motovilova	26.0	RUS	Tyumen			-1
120	Lev Rudatskiy	23.0	RUS	Moscow			1
121	Anton Sviridov	24.0	RUS	Moscow			1
122	Vlas Gavrilov	32.0	RUS	Agryz			0
123	Sergei Sergeev	65.0	RUS	Tyumen	176.0		1
124	Arseniy Kupchik	27.0	RUS	Yekaterinburg			1
125	Alexander Piratinskiy	77.0	RUS	Ekaterinburg			1
126	Liubov Stepanova	55.0	RUS	Ufa			-1
127	Olga Kushch	25.0	RUS	Saint-Peterburg			-1
128	Valentina Antonenko	22.0	RUS	Krasnoyarsk			-1
129	Elizaveta Ivanova	22.0	RUS	Ekaterinburg	172.0		-1
130	Pavel Kalugin	23.0	RUS	Ekaterinburg			1
131	Valeriia Deriabina	23.0	RUS	Ekaterinburg			0
132	Fedor Trukhanov	23.0	RUS	Saint-Peterburg			1
133	Sergey Sigov	64.0	RUS	Korkino			1
134	Yury Skurlatov	80.0	RUS	Moscow			1
135	Armen Ter-Minasian	60.0	RUS	Moscow			1
136	Liubov Zakharova	60.0	RUS	Krasnoyarsk			-1
137	Ekaterina Barashchuk	22.0	RUS	Tyumen			-1
138	Nikolai Michurov	21.0	RUS	Kaliningrad			1
139	Daniil Kornietckii	23.0	RUS	Kaliningrad			1
140	Ilia Popov	22.0	RUS	Saint-Petersburg			1
141	Irina Varik	21.0	RUS	Saint-Petersburg			-1
142	Konstantin Gorlenko	23.0	RUS	Krasnoyarsk			1
143	Petr Zemliakov	21.0	RUS	Tyumen			1
144	Elena Krasovskaia	21.0	RUS	Miass	169.0		-1
145	Denis Diachkov	21.0	RUS	Voronezh			1
146	Arsenii Bogomolov	26.0	RUS	Voronezh			0
147	Viktoriia Meshkova	21.0	RUS	Ekaterinburg	161.0		0
148	Luiza Emeleva	22.0	RUS	Gubkinskii			-1
149	Aleksei Chertov	63.0	RUS	Kaliningrad			1
150	Larisa Bychkovskaya	62.0	RUS	Ekaterinburg			-1
151	Andrei Sushkov	37.0	RUS	Saint-Peterburg			1
152	Ilia Sitkin	22.0	RUS	Saint-Petersburg			1
153	Timur Yamaliev	22.0	RUS	Nizhnevartovsk			1
154	Aleksandr Shilov	28.0	RUS	Tyumen			1
155	Svetlana Chistiakova	50.0	RUS	Moscow			-1
156	Yuri Starovoytov	25.0	RUS	Krasnoyarsk			1
157	Karina Gareeva	20.0	RUS	Miass			-1
158	Polina Goreva	21.0	RUS	Miass			-1
159	Roman Bozhko	21.0	RUS	Miass			1
160	Daniil Shiriaev	21.0	RUS	Kostroma			1
161	Oleg Bushin	20.0	RUS	Moscow			1
162	Igor Barskii	24.0	RUS	Ekaterinburg			1
163	Elena Paukova	25.0	RUS	Saint-Petersburg			-1
164	Aleksei Iakushev	22.0	RUS	Magnitogorsk			1
165	Nikolai Iarilovets	22.0	RUS	Moscow			1
166	Mariia Yurina	21.0	RUS	Saint-Petersburg			0
167	Georgii Morozov	21.0	RUS	Korkino			1
168	Darina Galaganova	20.0	RUS	Ekaterinburg			-1
169	Maria Sarsadskikh	24.0	RUS	Yekaterinburg			-1
170	Grigorii Pestov	21.0	RUS	Ekaterinburg			1
171	Irina Sabitova	23.0	RUS	Ufa			-1
172	Vladislav Shevchenko	23.0	RUS	Moscow			1
173	Semen OVCHINNIKOV	19.0	RUS	Krasnoyarsk	172.0		1
174	Sofiia Kessel	19.0	RUS	Saint-Petersburg			0
175	Polina KULAGINA	20.0	RUS	Krasnoyarsk			-1
176	Daria Furmanova	19.0	RUS	Krasnoyarsk			-1
177	Daria Veretenina	20.0	RUS	Angarsk			-1
178	Elizaveta TROKINA	19.0	RUS	Kaliningrad			-1
179	Violetta Chernykh	20.0	RUS	Kaliningrad			-1
