id	name	age	country	hometown	height	arm_span
122	Vlas Gavrilov	32	RUS	Agryz		
123	Sergei Sergeev	65	RUS	Tyumen	176	
124	Arseniy Kupchik	27	RUS	Yekaterinburg		
125	Alexander Piratinskiy	77	RUS	Ekaterinburg		
126	Liubov Stepanova	55	RUS	Ufa		
127	Olga Kushch	25	RUS	Saint-Peterburg		
128	Valentina Antonenko	22	RUS	Krasnoyarsk		
129	Elizaveta Ivanova	22	RUS	Ekaterinburg	172	
130	Pavel Kalugin	23	RUS	Ekaterinburg		
131	Valeriia Deriabina	23	RUS	Ekaterinburg		
132	Fedor Trukhanov	23	RUS	Saint-Peterburg		
133	Sergey Sigov	64	RUS	Korkino		
134	Yury Skurlatov	80	RUS	Moscow		
135	Armen Ter-Minasian	60	RUS	Moscow		
136	Liubov Zakharova	60	RUS	Krasnoyarsk		
137	Ekaterina Barashchuk	22	RUS	Tyumen		
138	Nikolai Michurov	21	RUS	Kaliningrad		
139	Daniil Kornietckii	23	RUS	Kaliningrad		
140	Ilia Popov	22	RUS	Saint-Petersburg		
141	Irina Varik	21	RUS	Saint-Petersburg		
142	Konstantin Gorlenko	23	RUS	Krasnoyarsk		
143	Petr Zemliakov	21	RUS	Tyumen		
144	Elena Krasovskaia	21	RUS	Miass	169	
145	Denis Diachkov	21	RUS	Voronezh		
146	Arsenii Bogomolov	26	RUS	Voronezh		
147	Viktoriia Meshkova	21	RUS	Ekaterinburg	161	
148	Luiza Emeleva	22	RUS	Gubkinskii		
149	Aleksei Chertov	63	RUS	Kaliningrad		
150	Larisa Bychkovskaya	62	RUS	Ekaterinburg		
151	Andrei Sushkov	37	RUS	Saint-Peterburg		
152	Ilia Sitkin	22	RUS	Saint-Petersburg		
153	Timur Yamaliev	22	RUS	Nizhnevartovsk		
154	Aleksandr Shilov	28	RUS	Tyumen		
155	Svetlana Chistiakova	50	RUS	Moscow		
156	Yuri Starovoytov	25	RUS	Krasnoyarsk		
157	Karina Gareeva	20	RUS	Miass		
158	Polina Goreva	21	RUS	Miass		
159	Roman Bozhko	21	RUS	Miass		
160	Daniil Shiriaev	21	RUS	Kostroma		
161	Oleg Bushin	20	RUS	Moscow		
162	Igor Barskii	24	RUS	Ekaterinburg		
163	Elena Paukova	25	RUS	Saint-Petersburg		
164	Aleksei Iakushev	22	RUS	Magnitogorsk		
165	Nikolai Iarilovets	22	RUS	Moscow		
166	Mariia Yurina	21	RUS	Saint-Petersburg		
167	Georgii Morozov	21	RUS	Korkino		
168	Darina Galaganova	20	RUS	Ekaterinburg		
169	Maria Sarsadskikh	24	RUS	Yekaterinburg		
170	Grigorii Pestov	21	RUS	Ekaterinburg		
171	Irina Sabitova	23	RUS	Ufa		
172	Vladislav Shevchenko	23	RUS	Moscow		
173	Semen OVCHINNIKOV	19	RUS	Krasnoyarsk	172	
174	Sofiia Kessel	19	RUS	Saint-Petersburg		
175	Polina KULAGINA	20	RUS	Krasnoyarsk		
176	Daria Furmanova	19	RUS	Krasnoyarsk		
177	Daria Veretenina	20	RUS	Angarsk		
178	Elizaveta TROKINA	19	RUS	Kaliningrad		
179	Violetta Chernykh	20	RUS	Kaliningrad		
180	Oleg Antonov	25	RUS	Moscow		
181	Polina Aksenova	20	RUS	Krasnoyarsk		
182	Dmitry Golov	23	RUS	Zheleznogorsk		
183	Veronika Volkova	34	RUS	Moscow		
184	Elizaveta Lapenkova	23	RUS	Voronezh		
185	Dmitrii Popov	24	RUS	Voronezh		
186	Vera Malamid	70	RUS	Voronezh		
187	Timofei Karpov	20	RUS	Sochi		
188	Andrei Smyk	20	RUS	Sochi		
189	Ilia Danilin	20	RUS	Krasnoyarsk		
190	Milena Volochko	20	RUS	Krasnoyarsk		
191	Anastasiia Evgeneva	21	RUS	Saint-Petersburg		
192	Igor BOBRENEV	20	RUS	Miass		
193	Kseniia Prokofeva	22	RUS	Miass		
194	Daria Kuznetsova	21	RUS	Perm		
195	Almaz Nagaev	21	RUS	Salavat		
196	Anton Kulba	19	RUS	Krasnoyarsk	174	
197	Elena Remizova	21	RUS	Perm		
198	Sergei Rukin	22	RUS	Tyumen		
199	Valeriia Slobodchikova	19	RUS	Chelyabinsk		
200	Danil Ogorodnikov	20	RUS	Nizhnevartovsk		
201	Daria Lezhnina	24	RUS	Ekaterinburg		
202	Polina Lukasheva	19	RUS	Sankt-Petersburg		
203	Galina Kuzmina	76	RUS	Moscow		
204	Viacheslav Volkov	19	RUS	Perm		
205	Vladislav Terleev	22	RUS	Nizhnevartovsk		
206	Oleg Peysakhovich	25	RUS	Moscow		
207	Elizaveta Gofman	18	RUS	Krasnoyarsk		
208	Kirill Iudin	19	RUS	Krasnoyarsk		
209	Serafima Subbotina	19	RUS	Kaliningrad		
